IDCLIENTE;RUT;NOMBRE;APELLIDOPATERNO;APELLIDOMATERNO;TELEFONO;EMAIL;DIRECCION;CIUDAD;CODIGOPOSTAL;FECHAREGISTRO;ESTADO;RUT_CIFRADO;EMAIL_CIFRADO
23124;XX.XXX.XXX-X;Noelia, Espinoza, Bustamante;NO DISPONIBLE;NO DISPONIBLE;+56994012829;bvekihizje819@testmail.org;NO DISPONIBLE;Ovalle;8145;2023-09-23;Descartado;XX.XXX.XXX-X;bvekihizje819@testmail.org
25291;XX.XXX.XXX-X;Isabel;Arroyo;NO DISPONIBLE;+56956162932;eedjfz661@testmail.org;Camino Belgrano 6523 dpto. 1912;Coyhaique;1709;2023-09-05;Descartado;XX.XXX.XXX-X;eedjfz661@testmail.org
24135;XX.XXX.XXX-X;Renata;Villanueva;Torres;+56931783986;gkgflyzqxs880@sample.cl;NO DISPONIBLE;Coyhaique;7633;2023-08-28;Descartado;XX.XXX.XXX-X;gkgflyzqxs880@sample.cl
24862;XX.XXX.XXX-X;Valentina;NO DISPONIBLE;NO DISPONIBLE;+56934812343;aglxxrjm804@demo.net;Avenida Belgrano 3122;Chillán;2801;2023-08-03;Descartado;XX.XXX.XXX-X;aglxxrjm804@demo.net
23538;XX.XXX.XXX-X;Adriana, López;NO DISPONIBLE;NO DISPONIBLE;+56926843059;ujlrrvnouw656@example.com;Ruta Larraín 4336 dpto. 197;Rancagua;1823;2023-07-21;Descartado;XX.XXX.XXX-X;ujlrrvnouw656@example.com
25537;XX.XXX.XXX-X;Claudia;NO DISPONIBLE;NO DISPONIBLE;+56947073043;ifzdgtq132@testmail.org;Calle Independencia 8888;Punta Arenas;9425;2023-07-01;Descartado;XX.XXX.XXX-X;ifzdgtq132@testmail.org
25115;XX.XXX.XXX-X;Fernando;Padilla;Cervantes;+56925393089;varket108@testmail.org;Camino Mitre 7894;Vitacura;3086;2023-06-25;Descartado;XX.XXX.XXX-X;varket108@testmail.org
22327;XX.XXX.XXX-X;Álex;NO DISPONIBLE;NO DISPONIBLE;+56931671788;NO DISPONIBLE;Calle Sarmiento 57;Padre Hurtado;7665;2023-06-23;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
25216;XX.XXX.XXX-X;Cristina;Peña;NO DISPONIBLE;+56978639682;fghig664@demo.net;Avenida Bolívar 3082;Peñaflor;4796;2023-06-17;Descartado;XX.XXX.XXX-X;fghig664@demo.net
21682;XX.XXX.XXX-X;Álex;NO DISPONIBLE;NO DISPONIBLE;+56924026660;wgcmdxrl895@demo.net;Avenida José Miguel Carrera 2056;Lota;2640;2023-06-11;Descartado;XX.XXX.XXX-X;wgcmdxrl895@demo.net
22302;XX.XXX.XXX-X;Enrique;NO DISPONIBLE;NO DISPONIBLE;+56968966914;yprydxogb440@testmail.org;Ruta La Paz 8762 dpto. 1162;Iquique;9364;2023-05-13;Descartado;XX.XXX.XXX-X;yprydxogb440@testmail.org
21837;XX.XXX.XXX-X;Laura;NO DISPONIBLE;NO DISPONIBLE;+56996623513;kepyso428@mailserver.io;Ruta Mitre 4842;Calama;9909;2023-05-04;Descartado;XX.XXX.XXX-X;kepyso428@mailserver.io
22158;XX.XXX.XXX-X;Beatriz, Velasco;NO DISPONIBLE;NO DISPONIBLE;+56916335940;fnqhswkonv580@demo.net;Avenida OHiggins 6732;Castro;6700;2023-04-15;Descartado;XX.XXX.XXX-X;fnqhswkonv580@demo.net
25446;XX.XXX.XXX-X;Carolina;Pacheco;NO DISPONIBLE;NO DISPONIBLE;xprlynt163@mailserver.io;Avenida Bolívar 2534 dpto. 2481;Antofagasta;5992;2023-04-09;Descartado;XX.XXX.XXX-X;xprlynt163@mailserver.io
21294;XX.XXX.XXX-X;Ramón, Camacho, Cervantes;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;Calle Belgrano 9386;Talcahuano;8231;2023-03-04;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
21267;XX.XXX.XXX-X;Roberto;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;umfejcy836@example.com;Calle Independencia 1836 dpto. 801;Copiapó;9878;2023-02-09;Descartado;XX.XXX.XXX-X;umfejcy836@example.com
24390;XX.XXX.XXX-X;Berta;Silva;Flores;+56992868816;mccwsvkho805@example.com;Avenida Esmeralda 1359;Rancagua;6873;2023-02-05;Descartado;XX.XXX.XXX-X;mccwsvkho805@example.com
23207;XX.XXX.XXX-X;María;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;gtzmkoe811@sample.cl;Ruta Sucre 7963 dpto. 1314;Talca;1881;2023-02-03;Descartado;XX.XXX.XXX-X;gtzmkoe811@sample.cl
21040;XX.XXX.XXX-X;Berta;Alvarado;Ruiz;+56916153741;wlmtehed493@testmail.org;Avenida Mitre 4014;Buin;6730;2023-01-24;Descartado;XX.XXX.XXX-X;wlmtehed493@testmail.org
21794;XX.XXX.XXX-X;Javier, López, Romero;NO DISPONIBLE;NO DISPONIBLE;+56927925863;knjgpnha601@testmail.org;Avenida Larraín 8971 dpto. 1863;Vallenar;1144;2022-12-29;Descartado;XX.XXX.XXX-X;knjgpnha601@testmail.org
21723;XX.XXX.XXX-X;Hugo, Delgado;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;ldxfzjcw141@sample.cl;Calle Colón 7944 dpto. 200;Linares;3361;2022-12-18;Descartado;XX.XXX.XXX-X;ldxfzjcw141@sample.cl
25384;XX.XXX.XXX-X;Emilio, Bustamante, Silva;NO DISPONIBLE;NO DISPONIBLE;+56941440070;znsphec924@demo.net;Camino Bolívar 1143 dpto. 2047;Colina;4422;2022-12-11;Descartado;XX.XXX.XXX-X;znsphec924@demo.net
25205;XX.XXX.XXX-X;Juan;Ríos;Sánchez;+56997253868;NO DISPONIBLE;Camino Bolívar 9946;Antofagasta;7481;2022-11-30;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
25085;XX.XXX.XXX-X;Inés;Benítez;Soto;+56921729382;ixpcrf756@demo.net;Ruta Sucre 7586 dpto. 91;Curicó;5210;2022-11-22;Descartado;XX.XXX.XXX-X;ixpcrf756@demo.net
21792;XX.XXX.XXX-X;Bruno;NO DISPONIBLE;NO DISPONIBLE;+56960256433;mitqyh921@testmail.org;Ruta Esmeralda 994 dpto. 1488;Machalí;3155;2022-11-04;Descartado;XX.XXX.XXX-X;mitqyh921@testmail.org
24052;XX.XXX.XXX-X;Laura;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;bwimoh274@testmail.org;Calle José Miguel Carrera 3680;Cauquenes;6259;2022-10-30;Descartado;XX.XXX.XXX-X;bwimoh274@testmail.org
25263;XX.XXX.XXX-X;Isabel, Barrera;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;tlualgp274@sample.cl;Ruta OHiggins 6280;La Serena;6305;2022-10-27;Descartado;XX.XXX.XXX-X;tlualgp274@sample.cl
23855;XX.XXX.XXX-X;Mariana;Pineda;Espinoza;+56952712088;blqkbg518@sample.cl;Calle Moreno 2432 dpto. 613;San Antonio;8420;2022-10-19;Descartado;XX.XXX.XXX-X;blqkbg518@sample.cl
23217;XX.XXX.XXX-X;Gloria;NO DISPONIBLE;NO DISPONIBLE;+56982084394;NO DISPONIBLE;Ruta La Paz 9585;San Fernando;6402;2022-10-10;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
24908;XX.XXX.XXX-X;Berta, Ibarra;NO DISPONIBLE;NO DISPONIBLE;+56991715023;ymzjnenz487@example.com;Camino Colón 8093;San Antonio;9196;2022-09-26;Descartado;XX.XXX.XXX-X;ymzjnenz487@example.com
25277;XX.XXX.XXX-X;Pedro;NO DISPONIBLE;NO DISPONIBLE;+56952363383;tjzyhylc761@sample.cl;Avenida Bolívar 2289;Talca;5424;2022-09-11;Descartado;XX.XXX.XXX-X;tjzyhylc761@sample.cl
24521;XX.XXX.XXX-X;Berta;Miranda;NO DISPONIBLE;NO DISPONIBLE;dfemwd710@sample.cl;Ruta Artigas 1532 dpto. 314;Penco;4121;2022-08-17;Descartado;XX.XXX.XXX-X;dfemwd710@sample.cl
24137;XX.XXX.XXX-X;Guadalupe;NO DISPONIBLE;NO DISPONIBLE;+56939695332;esskmm390@mailserver.io;Avenida Sucre 4164 dpto. 1074;Quilicura;2896;2022-08-09;Descartado;XX.XXX.XXX-X;esskmm390@mailserver.io
25720;XX.XXX.XXX-X;Eduardo;Zapata;Saavedra;+56966906900;ktjajmwvv708@testmail.org;Camino Sarmiento 1670;Buin;8153;2022-08-01;Descartado;XX.XXX.XXX-X;ktjajmwvv708@testmail.org
22805;XX.XXX.XXX-X;Alberto;Flores;Muñoz;+56937168871;abjeoqni722@testmail.org;Camino Belgrano 7755;Melipilla;3551;2022-07-18;Descartado;XX.XXX.XXX-X;abjeoqni722@testmail.org
20916;XX.XXX.XXX-X;Lucía;Silva;NO DISPONIBLE;NO DISPONIBLE;iqkwdlycq913@testmail.org;Camino Rivadavia 2873 dpto. 322;Chillán;6787;2022-07-14;Descartado;XX.XXX.XXX-X;iqkwdlycq913@testmail.org
21150;XX.XXX.XXX-X;Cristina;González;Navarro;NO DISPONIBLE;ypdcvq358@example.com;Avenida Alvear 4790;Ovalle;2690;2022-07-13;Descartado;XX.XXX.XXX-X;ypdcvq358@example.com
23526;XX.XXX.XXX-X;Claudia;Benítez;NO DISPONIBLE;NO DISPONIBLE;dixsruo512@testmail.org;Ruta José Miguel Carrera 9231;Puerto Montt;7194;2022-07-05;Descartado;XX.XXX.XXX-X;dixsruo512@testmail.org
21925;XX.XXX.XXX-X;Eduardo;Rodríguez;Maldonado;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;Quillota;7206;2022-07-01;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
22362;XX.XXX.XXX-X;Mónica;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;zcwrof426@example.com;Ruta Sarmiento 1728 dpto. 2465;Calama;2398;2022-04-07;Descartado;XX.XXX.XXX-X;zcwrof426@example.com
22915;XX.XXX.XXX-X;Rebeca;Molina;Reyes;NO DISPONIBLE;ubtlvwqxyj460@demo.net;Camino San Martín 5152 dpto. 1088;Machalí;2034;2022-04-01;Descartado;XX.XXX.XXX-X;ubtlvwqxyj460@demo.net
23648;XX.XXX.XXX-X;Natalia, Soto;NO DISPONIBLE;NO DISPONIBLE;+56945838293;pasayb758@sample.cl;Camino Independencia 5446 dpto. 44;Puerto Montt;6017;2022-03-20;Descartado;XX.XXX.XXX-X;pasayb758@sample.cl
23624;XX.XXX.XXX-X;Esteban, Chávez, Reyes;NO DISPONIBLE;NO DISPONIBLE;+56969421801;nnobk434@demo.net;Ruta Santa Rosa 4749 dpto. 1080;Machalí;7323;2022-03-14;Descartado;XX.XXX.XXX-X;nnobk434@demo.net
20967;XX.XXX.XXX-X;Teresa;NO DISPONIBLE;NO DISPONIBLE;+56969307863;oliue252@example.com;NO DISPONIBLE;Los Ángeles;7631;2022-03-09;Descartado;XX.XXX.XXX-X;oliue252@example.com
22226;XX.XXX.XXX-X;Guadalupe;Pacheco;NO DISPONIBLE;+56951989582;hyjxno835@testmail.org;Avenida Las Heras 9256 dpto. 2421;Puente Alto;7235;2022-02-27;Descartado;XX.XXX.XXX-X;hyjxno835@testmail.org
23534;XX.XXX.XXX-X;Cecilia, Blanco, González;NO DISPONIBLE;NO DISPONIBLE;+56926524591;utrtcr132@example.com;Calle Alvear 5485 dpto. 2298;Vitacura;5765;2022-02-04;Descartado;XX.XXX.XXX-X;utrtcr132@example.com
21981;XX.XXX.XXX-X;Amelia;Aguilar;NO DISPONIBLE;+56986205326;cytke830@example.com;Ruta Sucre 4210;Vitacura;3683;2021-12-20;Descartado;XX.XXX.XXX-X;cytke830@example.com
21974;XX.XXX.XXX-X;Felipe, Reyes, Ramírez;NO DISPONIBLE;NO DISPONIBLE;+56928410524;NO DISPONIBLE;Ruta Rivadavia 9902 dpto. 618;La Serena;1162;2021-11-27;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
23412;XX.XXX.XXX-X;Rosa;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;cwvbirvcc204@testmail.org;Calle Sarmiento 2349;San Felipe;4517;2021-11-24;Descartado;XX.XXX.XXX-X;cwvbirvcc204@testmail.org
21883;XX.XXX.XXX-X;Guadalupe, Pacheco;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;bqrjxpc666@sample.cl;Ruta Sucre 8049 dpto. 473;Iquique;7574;2021-11-19;Descartado;XX.XXX.XXX-X;bqrjxpc666@sample.cl
24022;XX.XXX.XXX-X;Carolina;NO DISPONIBLE;NO DISPONIBLE;+56936770893;bagahzxlc170@testmail.org;Ruta La Paz 9141;Linares;8465;2021-11-09;Descartado;XX.XXX.XXX-X;bagahzxlc170@testmail.org
25380;XX.XXX.XXX-X;Emma;Alvarado;Manrique;+56995747610;heezdmg888@example.com;Ruta Belgrano 4209 dpto. 2045;Valdivia;6355;2021-11-02;Descartado;XX.XXX.XXX-X;heezdmg888@example.com
23065;XX.XXX.XXX-X;Paula;Valencia;Castro;+56966952841;gbphfzgc993@testmail.org;Avenida José Miguel Carrera 5010 dpto. 1370;Puerto Montt;6216;2021-10-29;Descartado;XX.XXX.XXX-X;gbphfzgc993@testmail.org
22656;XX.XXX.XXX-X;Eduardo;Moreno;NO DISPONIBLE;+56919531292;lfnwnk556@sample.cl;NO DISPONIBLE;Rancagua;6801;2021-10-27;Descartado;XX.XXX.XXX-X;lfnwnk556@sample.cl
24882;XX.XXX.XXX-X;Lorena;NO DISPONIBLE;NO DISPONIBLE;+56993570946;NO DISPONIBLE;Camino Colón 1868;Coronel;9301;2021-10-24;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
21354;XX.XXX.XXX-X;Eduardo, Reyes, Hernández;NO DISPONIBLE;NO DISPONIBLE;+56945002536;jmwipxcqt796@mailserver.io;Calle Esmeralda 8608 dpto. 1339;Angol;8369;2021-10-22;Descartado;XX.XXX.XXX-X;jmwipxcqt796@mailserver.io
25158;XX.XXX.XXX-X;Pedro, Blanco;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;kvqtzujw985@testmail.org;NO DISPONIBLE;Vallenar;4583;2021-10-12;Descartado;XX.XXX.XXX-X;kvqtzujw985@testmail.org
24590;XX.XXX.XXX-X;Beatriz;Sánchez;Salinas;+56999925826;fzuyyhmrn172@mailserver.io;Avenida Independencia 224;La Serena;4323;2021-10-11;Descartado;XX.XXX.XXX-X;fzuyyhmrn172@mailserver.io
25187;XX.XXX.XXX-X;Eduardo;NO DISPONIBLE;NO DISPONIBLE;+56916899676;ejqragttb737@demo.net;Ruta Larraín 542;Vitacura;5551;2021-09-27;Descartado;XX.XXX.XXX-X;ejqragttb737@demo.net
22997;XX.XXX.XXX-X;Alicia;NO DISPONIBLE;NO DISPONIBLE;+56955456289;NO DISPONIBLE;Calle Santa Rosa 3510 dpto. 2449;Vallenar;3405;2021-09-13;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
22028;XX.XXX.XXX-X;Roberto, Torres;NO DISPONIBLE;NO DISPONIBLE;+56986106792;twwudaq194@testmail.org;Camino San Martín 5800;Linares;4237;2021-08-15;Descartado;XX.XXX.XXX-X;twwudaq194@testmail.org
22195;XX.XXX.XXX-X;Amelia;Padilla;Bermúdez;NO DISPONIBLE;stpkeotr261@demo.net;Camino Yrigoyen 5473 dpto. 186;Valdivia;9791;2021-08-05;Descartado;XX.XXX.XXX-X;stpkeotr261@demo.net
23561;XX.XXX.XXX-X;Raúl;Jiménez;NO DISPONIBLE;+56975322514;ahcxus263@example.com;Avenida Moreno 6318;Antofagasta;4384;2021-07-30;Descartado;XX.XXX.XXX-X;ahcxus263@example.com
22440;XX.XXX.XXX-X;Irene;Villalobos;Espinoza;NO DISPONIBLE;waxkz441@testmail.org;Avenida Rivadavia 7149;Linares;5053;2021-07-21;Descartado;XX.XXX.XXX-X;waxkz441@testmail.org
24921;XX.XXX.XXX-X;Berta;Pineda;NO DISPONIBLE;NO DISPONIBLE;uebtygvger365@testmail.org;NO DISPONIBLE;San Fernando;2584;2021-07-13;Descartado;XX.XXX.XXX-X;uebtygvger365@testmail.org
24317;XX.XXX.XXX-X;Manuela;NO DISPONIBLE;NO DISPONIBLE;+56930550888;nikndwe809@testmail.org;Calle Independencia 1408 dpto. 233;La Serena;8028;2021-06-30;Descartado;XX.XXX.XXX-X;nikndwe809@testmail.org
24409;XX.XXX.XXX-X;Pedro, Ortiz, Bravo;NO DISPONIBLE;NO DISPONIBLE;+56915689479;NO DISPONIBLE;Ruta Sarmiento 3739;San Antonio;6428;2021-06-27;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
21372;XX.XXX.XXX-X;Estefanía;NO DISPONIBLE;NO DISPONIBLE;+56920083411;yymfemun650@mailserver.io;Ruta Sarmiento 7894 dpto. 1790;Talcahuano;5973;2021-06-17;Descartado;XX.XXX.XXX-X;yymfemun650@mailserver.io
24813;XX.XXX.XXX-X;Fernanda, Quintero;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;Hualpén;5605;2021-06-12;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
22780;XX.XXX.XXX-X;Beatriz;Ibarra;Reyes;NO DISPONIBLE;sgpfuhrlm353@demo.net;Ruta Sucre 1988;Providencia;7786;2021-06-04;Descartado;XX.XXX.XXX-X;sgpfuhrlm353@demo.net
21905;XX.XXX.XXX-X;Andrea;Camacho;Valencia;+56971855324;etmaqevf332@example.com;NO DISPONIBLE;Antofagasta;2927;2021-05-22;Descartado;XX.XXX.XXX-X;etmaqevf332@example.com
21770;XX.XXX.XXX-X;Laura;Chávez;Ledesma;+56960041111;NO DISPONIBLE;Camino Sucre 3646 dpto. 991;Coronel;9554;2021-05-22;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
22590;XX.XXX.XXX-X;Berta;Hernández;Saavedra;NO DISPONIBLE;NO DISPONIBLE;Camino San Martín 4241 dpto. 1584;La Pintana;2070;2021-05-03;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
22258;XX.XXX.XXX-X;Álvaro, Torres;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;ezqrlkos197@sample.cl;Calle Yrigoyen 3262;Talcahuano;6124;2021-04-24;Descartado;XX.XXX.XXX-X;ezqrlkos197@sample.cl
25345;XX.XXX.XXX-X;Agustín;Salinas;Vargas;+56933176287;zrkeljb781@mailserver.io;NO DISPONIBLE;Los Ángeles;5103;2021-04-18;Descartado;XX.XXX.XXX-X;zrkeljb781@mailserver.io
21797;XX.XXX.XXX-X;Jorge;NO DISPONIBLE;NO DISPONIBLE;+56948314960;daqvaaac107@testmail.org;Camino Belgrano 8644;Puerto Montt;9769;2021-04-16;Descartado;XX.XXX.XXX-X;daqvaaac107@testmail.org
21756;XX.XXX.XXX-X;Samuel;Ramírez;NO DISPONIBLE;+56925355030;esrpxe401@example.com;Calle Larraín 4009;Valdivia;4336;2021-04-08;Descartado;XX.XXX.XXX-X;esrpxe401@example.com
24363;XX.XXX.XXX-X;Sebastián, Bravo;NO DISPONIBLE;NO DISPONIBLE;+56967467316;bungtqnxy541@mailserver.io;Avenida Larraín 8348;Valparaíso;9668;2021-03-13;Descartado;XX.XXX.XXX-X;bungtqnxy541@mailserver.io
22981;XX.XXX.XXX-X;Hugo;Estrada;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;Avenida Belgrano 7010;Peñaflor;3667;2021-03-08;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
24350;XX.XXX.XXX-X;Sandra;Guerrero;Trejo;NO DISPONIBLE;qxnazgi552@mailserver.io;Calle Belgrano 1162;Vitacura;2136;2021-03-01;Descartado;XX.XXX.XXX-X;qxnazgi552@mailserver.io
21309;XX.XXX.XXX-X;Paula, Pacheco, Aguilar;NO DISPONIBLE;NO DISPONIBLE;+56924753951;vtnmbnsy139@sample.cl;Calle Rivadavia 5755;Talcahuano;7918;2021-01-04;Descartado;XX.XXX.XXX-X;vtnmbnsy139@sample.cl
23438;XX.XXX.XXX-X;Silvia, Navarro;NO DISPONIBLE;NO DISPONIBLE;+56973016706;cqfcqjlq488@example.com;Calle José Miguel Carrera 5434;Coyhaique;9756;2020-12-07;Descartado;XX.XXX.XXX-X;cqfcqjlq488@example.com
24542;XX.XXX.XXX-X;Miguel;NO DISPONIBLE;NO DISPONIBLE;+56952338301;rgeglss171@example.com;Calle Esmeralda 9928 dpto. 776;Concepción;9578;2020-11-26;Descartado;XX.XXX.XXX-X;rgeglss171@example.com
24490;XX.XXX.XXX-X;Fernanda;Cruz;Paredes;+56918909163;tbavmc351@testmail.org;Ruta San Martín 1080 dpto. 2215;Melipilla;5387;2020-11-05;Descartado;XX.XXX.XXX-X;tbavmc351@testmail.org
21297;XX.XXX.XXX-X;Pablo;NO DISPONIBLE;NO DISPONIBLE;+56969174559;xdolyxswwg776@demo.net;Ruta José Miguel Carrera 6868;Arica;6939;2020-10-02;Descartado;XX.XXX.XXX-X;xdolyxswwg776@demo.net
22611;XX.XXX.XXX-X;Carolina;Sandoval;NO DISPONIBLE;+56952179291;ehaffvnl484@example.com;Camino Rivadavia 7256;Vallenar;3201;2020-09-24;Descartado;XX.XXX.XXX-X;ehaffvnl484@example.com
21075;XX.XXX.XXX-X;Rosa;Vega;Gutiérrez;+56911417637;zhcqtt152@mailserver.io;Camino Larraín 757;Melipilla;5469;2020-09-09;Descartado;XX.XXX.XXX-X;zhcqtt152@mailserver.io
21096;XX.XXX.XXX-X;Claudia;Cabrera;NO DISPONIBLE;+56961720933;NO DISPONIBLE;Camino OHiggins 6483;Los Ángeles;3696;2020-09-01;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
23478;XX.XXX.XXX-X;Emilio, Quintero;NO DISPONIBLE;NO DISPONIBLE;+56954033313;nwpsrt514@demo.net;Ruta OHiggins 2736 dpto. 2253;Chillán;5450;2020-08-08;Descartado;XX.XXX.XXX-X;nwpsrt514@demo.net
24362;XX.XXX.XXX-X;Clara;NO DISPONIBLE;NO DISPONIBLE;+56960566902;pirytsae959@demo.net;Camino Sarmiento 1413;Coronel;5217;2020-08-07;Descartado;XX.XXX.XXX-X;pirytsae959@demo.net
22894;XX.XXX.XXX-X;Lorena, Palacios, Alvarez;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;eztjcnd568@demo.net;Ruta Independencia 5846;Punta Arenas;2805;2020-07-30;Descartado;XX.XXX.XXX-X;eztjcnd568@demo.net
23807;XX.XXX.XXX-X;Manuela;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;Calle San Martín 8560;Iquique;1487;2020-07-13;Descartado;XX.XXX.XXX-X;NO DISPONIBLE
25228;XX.XXX.XXX-X;Berta, Hernández;NO DISPONIBLE;NO DISPONIBLE;+56954417429;kfmcffyx775@mailserver.io;Camino San Martín 1653 dpto. 1311;Valparaíso;3267;2020-06-29;Descartado;XX.XXX.XXX-X;kfmcffyx775@mailserver.io
22198;XX.XXX.XXX-X;Sofía, Jiménez;NO DISPONIBLE;NO DISPONIBLE;+56998043859;pcwqg291@demo.net;Camino Moreno 7470;Vallenar;4920;2020-06-23;Descartado;XX.XXX.XXX-X;pcwqg291@demo.net
23082;XX.XXX.XXX-X;Lorena;NO DISPONIBLE;NO DISPONIBLE;+56944269719;iaknur677@demo.net;Camino Belgrano 6311 dpto. 448;Curicó;7737;2020-06-09;Descartado;XX.XXX.XXX-X;iaknur677@demo.net
21982;XX.XXX.XXX-X;Samuel;NO DISPONIBLE;NO DISPONIBLE;+56979584747;gphuqqa425@mailserver.io;Camino Las Heras 1677 dpto. 380;Ovalle;2445;2020-06-07;Descartado;XX.XXX.XXX-X;gphuqqa425@mailserver.io
20826;XX.XXX.XXX-X;Tomás;Núñez;NO DISPONIBLE;+56918179328;dihbrdtl494@sample.cl;Avenida Sucre 3115;Calama;1333;2020-05-11;Descartado;XX.XXX.XXX-X;dihbrdtl494@sample.cl
24964;XX.XXX.XXX-X;Manuel, Vargas, Cervantes;NO DISPONIBLE;NO DISPONIBLE;+56973104091;dyjdokii241@sample.cl;Ruta José Miguel Carrera 5311;San Felipe;3124;2020-04-08;Descartado;XX.XXX.XXX-X;dyjdokii241@sample.cl
21620;XX.XXX.XXX-X;Carlos;Bermúdez;Espinoza;+56979688296;mcmgzu169@demo.net;Calle Bolívar 2899;Osorno;9314;2020-04-04;Descartado;XX.XXX.XXX-X;mcmgzu169@demo.net
21700;XX.XXX.XXX-X;Natalia;Martínez;Quintero;+56940004193;xqkukumv182@mailserver.io;NO DISPONIBLE;Valdivia;4422;2020-04-02;Descartado;XX.XXX.XXX-X;xqkukumv182@mailserver.io
22457;XX.XXX.XXX-X;Álvaro;NO DISPONIBLE;NO DISPONIBLE;+56960638199;nckjxwwj567@sample.cl;Avenida Sucre 8655 dpto. 1607;San Felipe;4124;2020-03-21;Descartado;XX.XXX.XXX-X;nckjxwwj567@sample.cl
